f1,f2,f3,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0005,0.0015825195376713015,2.42125,667.0,498.0,549.0,244.0,873.0,630.0,268.0,250.0,720.0,173.0,236.0,350.0
0.464,0.000570600370906991,0.05416666666666663,800.0,704.0,828.0,193.0,770.0,307.0,797.0,336.0,796.0,803.0,150.0,391.0
0.001,0.0015757938798723174,1.0666666666666664,88.0,514.0,160.0,222.45312883899882,841.0,846.0,550.0,387.0,260.0,162.0,729.0,59.0
0.0013999999999999772,0.007237097306089658,0.0675,729.0,288.0,490.0,135.0,905.0,461.0,550.0,206.0,767.0,601.0,729.0,359.0
0.001,0.0046467902993241545,0.8245833333333332,621.0,566.0,828.0,78.0,306.0,255.0,580.0,68.0,66.0,210.0,614.0,373.0
0.0027000000000000457,0.004423531628767299,0.029166666666666743,878.0,57.0,828.0,398.0,770.0,72.0,828.0,206.0,731.0,198.0,24.0,395.0
0.00029999999999995455,0.009869583075501938,0.01416666666666663,211.0,754.0,579.0,193.0,905.0,307.0,550.0,68.0,112.70520301911945,832.0,150.0,290.0
0.6375,0.0008164995459159852,0.00375,110.0,704.0,828.0,193.0,912.0,54.0,50.0,250.0,346.0,11.0,755.0,278.0
0.0055,0.0009448182852564181,1.7970416666666664,621.0,498.0,579.0,333.0,881.0,387.0,825.0,130.0,663.0,210.0,614.0,373.0
0.0375,0.0008150145572197314,0.260375,800.0,288.0,160.0,98.0,89.0,645.5427479868771,825.0,33.0,260.0,162.0,729.0,391.0
0.0017999999999999546,0.005008418349576337,0.5620833333333333,211.0,754.0,545.0,333.0,905.0,307.0,580.0,68.0,66.0,210.0,772.0,290.0
0.0015,0.02529047410012579,0.0,667.0,593.0,646.0,329.0,770.0,307.0,797.0,206.0,260.0,162.0,729.0,350.0
0.003,0.000592576069298722,2.42125,667.0,498.0,549.0,244.0,873.0,630.0,268.0,21.0,720.0,173.0,236.0,350.0
0.0405,0.00134500684193041,4.166666666662877e-05,88.0,514.0,160.0,356.0,89.0,72.0,825.0,33.0,260.0,162.0,729.0,59.0
0.00029999999999995455,0.009796120515818248,1.9695833333333335,800.0,754.0,545.0,329.0,124.0,597.0,589.0,11.0,73.0,690.0,421.0,391.0
0.0025,0.004065612212761315,0.5304166666666668,667.0,566.0,286.0,356.0,881.0,387.0,580.0,68.0,112.70520301911945,817.0,400.0,350.0
0.0007999999999999545,0.029606174888926234,0.0,655.0,754.0,218.0,98.0,770.0,307.0,797.0,250.0,133.0,817.0,150.0,328.6434869801162
0.0325,0.0008116893478625416,0.4133333333333333,88.0,514.0,828.0,78.0,306.0,255.0,580.0,375.0,15.508207360047177,817.0,150.0,59.0
0.0,0.0161172707389712,0.0041666666666666284,800.0,566.0,490.0,98.0,770.0,30.636834254482185,797.0,12.0,260.0,162.0,729.0,391.0
0.0015,0.004501707863440609,0.842875,621.0,20.0,579.0,333.0,881.0,387.0,825.0,130.0,663.0,210.0,614.0,373.0
0.00020000000000004546,0.012494463693282741,0.06666666666666675,655.0,754.0,218.0,98.0,770.0,307.0,797.0,206.0,133.0,817.0,150.0,328.6434869801162
0.063,0.0005361766882288628,0.3608333333333334,667.0,566.0,286.0,356.0,905.0,645.5427479868771,177.0,336.0,66.0,817.0,400.0,350.0
0.034,0.000503671792886646,4.280833333333333,177.0,21.0,218.0,364.0,306.0,255.0,268.0,11.0,827.0,647.0,689.0,225.3116819030461
0.333,0.00019254901538001682,0.6849583333333332,800.0,706.0356458809383,286.0,356.0,89.0,72.0,825.0,8.354417702231656,73.0,383.0,729.0,391.0
0.0037000000000000453,0.0018320118116531107,0.20833333333333326,655.0,754.0,218.0,98.0,770.0,307.0,797.0,250.0,133.0,684.0,246.0,328.6434869801162
0.0005,0.015638146579976652,0.0008333333333333712,655.0,57.0,828.0,364.0,770.0,387.0,309.0,33.0,133.0,803.0,150.0,328.6434869801162
0.0005,0.008379966374066013,0.39,499.7120683906299,593.0,646.0,329.0,770.0,307.0,797.0,206.0,346.0,11.0,755.0,350.0
0.0045,0.0017553474452964817,0.0,800.0,514.0,719.0,329.0,770.0,387.0,102.0,85.0,73.0,198.0,150.0,391.0
0.0025,0.015508924704822001,0.00125,878.0,57.0,828.0,98.0,841.0,20.0,828.0,206.0,66.0,539.0,400.0,395.0
0.0185,0.0005630245325566545,0.57875,110.0,514.0,646.0,222.45312883899882,905.0,307.0,50.0,33.0,346.0,11.0,755.0,278.0
0.047,0.0005699203659076836,0.2625,667.0,566.0,160.0,36.0,659.0,20.0,828.0,68.0,750.0,539.0,24.0,350.0
