f1,f2,f3,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0905,0.0005138225758256525,0.05,937.0,30.0,814.0,352.0,769.0,742.0,487.0,370.0,800.0,194.0,726.0,376.0
0.0005,0.0023560367455547292,0.19375,937.0,732.0,814.0,54.0,836.0,792.0,43.0,398.0,454.0,194.0,726.0,376.0
0.013,0.004269110833628597,0.010416666666666628,937.0,845.0,797.0,54.0,52.0,160.0,43.0,398.0,454.0,194.0,726.0,376.0
0.589,0.00023395601012644014,2.4325,469.0,30.0,678.0,210.0,618.6959263468522,501.0,306.0,79.0,123.0,219.0,330.0,61.0
0.033,0.004841262488037477,0.00791666666666663,937.0,30.0,814.0,210.0,52.0,501.0,386.0,140.0,825.0,130.0,726.0,376.0
0.0205,0.0010770921901380737,0.046666666666666745,131.0,151.0,726.0,188.0,618.6959263468522,792.0,306.0,257.0,454.0,194.0,37.0,343.0
0.048,0.002034348758290072,0.014583333333333372,131.0,732.0,814.0,352.0,836.0,617.0,805.0,140.0,825.0,194.0,37.0,343.0
0.0125,0.0005986260969283304,0.5291666666666668,319.0,151.0,726.0,289.0,394.0,15.612944841391815,630.0,382.0,652.0,194.0,726.0,28.0
0.023,0.00026754286879596454,0.31666666666666676,937.0,173.0,384.0,289.0,870.0,160.0,43.0,382.0,52.0,301.1976406309946,726.0,376.0
1.329,0.00045863599953784625,0.012083333333333371,937.0,30.0,678.0,210.0,928.0,45.0,386.0,382.0,123.0,130.0,123.0,376.0
0.0005,0.011983892632050087,0.046666666666666745,131.0,151.0,726.0,188.0,618.6959263468522,792.0,306.0,17.0,454.0,194.0,37.0,343.0
0.0,0.022760720308459416,0.0,937.0,173.0,726.0,317.0,769.0,837.0,43.0,382.0,652.0,24.0,726.0,376.0
0.0,0.007043853391872333,0.095,131.0,173.0,726.0,188.0,618.6959263468522,792.0,306.0,17.0,454.0,194.0,37.0,343.0
0.0525,0.004810646101229598,0.0,937.0,173.0,726.0,352.0,769.0,837.0,698.0,370.0,652.0,194.0,726.0,376.0
0.0085,0.0038143249109480045,0.06583333333333337,937.0,173.0,797.0,352.0,232.0,742.0,386.0,382.0,454.0,130.0,726.0,376.0
0.0025,0.004862234178727417,0.09583333333333326,937.0,30.0,814.0,352.0,769.0,742.0,805.0,370.0,800.0,194.0,726.0,376.0
0.0155,0.0020166750591646553,0.046666666666666745,131.0,151.0,726.0,317.0,618.6959263468522,792.0,306.0,17.0,454.0,194.0,37.0,343.0
0.596,0.00033845915766407645,0.20208333333333325,131.0,732.0,814.0,210.0,928.0,742.0,487.0,79.0,652.0,194.0,37.0,343.0
0.08,0.001480526610946271,0.0,937.0,173.0,726.0,352.0,769.0,837.0,698.0,382.0,652.0,184.11436180337475,726.0,376.0
0.0035,0.0007216227542983794,0.1125,319.0,151.0,726.0,188.0,870.0,792.0,630.0,382.0,652.0,184.11436180337475,726.0,70.7178369599693
0.001,0.004932083401271544,0.00125,937.0,151.0,726.0,89.0,52.0,792.0,413.0,78.0,123.0,247.0,726.0,376.0
0.143,0.0005746050216437823,0.01333333333333337,937.0,151.0,726.0,89.0,52.0,792.0,413.0,370.0,800.0,247.0,726.0,376.0
0.0255,0.002118847968337725,0.01375,131.0,151.0,726.0,188.0,618.6959263468522,792.0,306.0,79.0,123.0,194.0,37.0,343.0
0.001,0.0061402754784470066,0.0,937.0,173.0,726.0,199.3037603357071,769.0,837.0,43.0,382.0,652.0,194.0,726.0,376.0
1.122,0.000901217814622418,0.0025,937.0,30.0,678.0,210.0,928.0,501.0,306.0,371.0,454.0,130.0,123.0,376.0
0.038,0.0013098679237843105,0.02583333333333337,937.0,173.0,24.0,188.0,52.0,160.0,43.0,382.0,454.0,130.0,123.0,376.0
