f1,f2,f3
0.0017999999999999546,0.003335747678108939,0.002083333333333371
0.114,0.00013344581634524777,0.04166666666666674
0.0,0.0010991807367009639,0.006666666666666629
0.0,0.00010565288111126117,0.5758333333333333
0.0025,0.0005267588791608989,0.09166666666666674
0.0,0.010237696869925463,0.0041666666666666284
0.001,0.0035340170540952504,0.0
0.003,0.00043732540329439795,0.07416666666666674
0.003,0.00043732540329439795,0.07416666666666674
0.1205,1.9731963158414483e-05,0.19375
0.0555,0.0001848828574480018,0.04166666666666674
0.0185,7.125129125668796e-05,0.11625
0.0035,0.00022139321625193383,0.0
0.0005,0.00036052237973555507,0.21583333333333327
0.0005,0.00036052237973555507,0.21583333333333327
0.001,0.0025048503410688245,0.005416666666666629
0.0,0.011019777978361915,0.0
0.685,3.506528316791497e-05,0.0008333333333333712
0.00025,0.006332977391682487,0.0
0.00075,0.0006643085640798701,0.033333333333333375
0.025149999999999978,0.00019753689678018638,0.05541666666666674
0.0005499999999999545,0.005677781340883548,0.0041666666666666284
0.0015,0.0006496601677556335,0.11208333333333326
0.0365,0.00021181350812274214,0.05083333333333337
1.5255999999999998,0.00020749498024807267,0.0
0.00075,0.0039450509729917526,0.0025
0.0025,0.0026249846190443005,0.0029166666666666286
0.0555,5.010170111180452e-05,1.9524583333333334
0.0555,5.010170111180452e-05,1.9524583333333334
0.0008500000000000227,0.00021460007172131098,0.50125
