run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,5.239,2,0.001903,0.009344,0.000381,0.001903,0.077503,0.074589,1250000.000000,0.000825,23993.0,펜네 지티 리가떼 | 기순도 발효 대통밥 | 무직타이거 뚱랑이의 불새우 볶음면
1,43,40000,201,5.025,8,0.023007,0.005307,0.001964,0.023007,0.078300,0.946432,15.593043,0.000476,22190.0,노릇노릇두부 포케폴 | 나드리 컵비빔밥 | 렌지쿠캣 우삼겹김치필라프
2,44,40000,201,4.978,2,0.117709,0.009497,0.000554,0.117709,0.077069,0.666667,5.488626,0.000972,30100.0,치즈버거 | 알뜰임금님표이천쌀치즈핫도그 | 미정당)불어묵납작당면
3,45,40000,201,4.972,11,0.172419,0.003250,0.003106,0.172277,0.077185,0.993428,10.119877,0.000726,7830.0,마트명가 햇살떡국떡 | 참기름닭갈비 | 밀떡볶이떡(냉동)
4,46,40000,201,4.963,4,0.003343,0.002750,0.002026,0.002485,0.077006,0.953984,5.157894,0.000994,24400.0,풍년표 국수 | 폴드포크샌드위치 | 탕종 플레인 베이글
5,47,40000,201,5.050,11,0.068479,0.007296,0.002153,0.066821,0.075893,1.168964,7.943289,0.001381,28030.0,오믈렛킹모닝 콤보 | 7곡 쌀칼국수 | 김)압도적불고기김밥
6,48,40000,201,5.280,4,0.000571,0.000660,0.000653,0.000571,0.079114,1.111567,2.780372,0.000210,24450.0,갓돼지삼각김밥 | 크리스마스 트러플 치즈 버거 | 곰곰모닝롤
7,49,40000,201,4.953,13,0.132500,0.009247,0.004969,0.132311,0.077525,1.090869,10.186137,0.000527,33000.0,담)아이돌인기샌드위치 | 고단백 컵누들 마라샹궈맛 | 차알중화면
8,50,40000,201,5.225,5,0.014803,0.008974,0.002257,0.014120,0.077664,1.122784,5.774894,0.000743,25880.0,블랙푸드곡물한끼 | 불고기와퍼주니어 | 스팸에그버거(마일드)
9,51,40000,201,5.088,15,0.025543,0.005031,0.002285,0.025543,0.078741,1.145682,5.000000,0.000294,26250.0,비스트로 토마토&치즈 바게트 | 조르니키친 야심포차 오꼬노미야끼 | BLT오믈렛킹모닝 콤보
10,52,40000,201,4.903,28,0.103103,0.004244,0.003727,0.103066,0.076107,1.213883,7.919322,0.001178,54120.0,분모자 | 망곰이의핫윙&파스타 | 시금치 라자냐 Lasana Spinaci
11,53,40000,201,5.448,21,0.106921,0.009491,0.000949,0.106921,0.077664,1.242451,5.856005,0.000723,28700.0,탕종숙식빵 | 쟌슨빌소시지김밥 | 머쉬룸빠네파스타
12,54,40000,201,5.114,5,0.203553,0.007640,0.001590,0.202939,0.076407,0.827236,8.141846,0.001135,37160.0,단팥앙금빵(A) | 삼립)더블치즈스테이크에그디럭스버거 | 병아리김밥 살코기참치
13,55,40000,201,5.123,9,0.636869,0.010140,0.002149,0.636869,0.076393,0.929479,12.605599,0.000297,57430.0,저당 발효종 호밀통밀 플랫 브레드 | 매콤핫치킨브리또 | 햄듬뿍치즈샌드
14,56,40000,201,5.172,11,0.033314,0.009076,0.001910,0.032761,0.076239,1.187988,6.341853,0.001278,16900.0,405)올리브푸가스 | 비벼진 비빔밥 | 샌)딸기잼햄치즈샌드
15,57,40000,201,4.985,14,0.014959,0.009627,0.001527,0.014959,0.079011,1.223662,4.355556,0.000213,25960.0,핫케익 2조각 | 소시지 에그 맥머핀 | 뉴트로치킨마요덮밥
16,58,40000,201,5.045,15,0.118200,0.006200,0.006200,0.117532,0.078181,1.072328,11.189619,0.000229,34500.0,베이컨머쉬룸맥앤치즈 | 치즈퐁듀베이컨파스타 | 냉동 생 밀면
17,59,40000,201,5.295,24,0.106698,0.004921,0.001606,0.105045,0.078301,1.187636,5.184212,0.000458,34090.0,고소삼겹 들기름파스타 누들볼 | 제육덮밥팩 | 국떡 구슬 떡볶이
18,60,40000,201,5.191,8,0.680375,0.009872,0.002123,0.680375,0.076065,1.167256,6.400000,0.001193,82350.0,수입산 떡볶이떡(냉장) | 통새우와퍼주니어 | NEW기본김밥
19,61,40000,201,4.897,2,0.290828,0.009698,0.000959,0.290828,0.075663,0.666667,7.417203,0.001503,38400.0,치즈퐁듀베이컨파스타 | 한우느타리호박무른밥 | 트러플 머쉬룸 와퍼
20,62,40000,201,4.883,7,0.112755,0.008924,0.004627,0.111232,0.074477,1.096786,13.050551,0.001789,35130.0,햄)햄에그모닝머핀 | 그린)불닭치즈소시지김밥 | 이모네포장마차 백김치 비빔국수
21,63,40000,201,4.899,5,0.064290,0.003172,0.002077,0.063852,0.076306,0.946213,7.556404,0.001229,29450.0,스팸무스비 | 헬키 푸키 닭가슴살오곡핫도그 | 마트명가 햇살떡국떡
22,64,40000,201,4.995,10,0.344478,0.002647,0.002640,0.344116,0.077150,1.016554,8.576745,0.000363,50890.0,차알중화면 | 반가쌀국수 | 유기농퍼프현미랑사과랑
23,65,40000,201,5.086,3,0.003409,0.009204,0.002290,0.001883,0.075874,1.000000,6.815920,0.001432,24090.0,무화과깜빠뉴발효빵 | 멜로우 레리매운떡볶이 | [요뽀끼] 치즈 김밥
24,66,40000,201,5.030,6,0.049187,0.007272,0.002434,0.046420,0.077200,1.160198,6.305408,0.000929,20300.0,통)촉촉계란말이김밥 | NEW 더블 미라클버거 | 핑크로켓 할랄 짜장 떡볶이
25,67,40000,201,4.929,5,0.085370,0.005266,0.001605,0.085370,0.076912,1.123484,5.234493,0.001025,34380.0,화이버파스타 스파게티 | 뚝딱 한그릇 중화면 | 휴게소 스페셜토스트
26,68,40000,201,4.934,8,0.059552,0.009794,0.003908,0.059366,0.078425,1.021741,7.731199,0.000361,29500.0,삼립)아메리칸베이컨체다버거 | 파니니 | 샌)햄에그샐러드샌드위치
27,69,40000,201,5.049,5,0.255177,0.010279,0.002031,0.255177,0.076542,0.975420,12.519182,0.000852,36550.0,소시지 에그 맥머핀 | 삼립)더블에그햄샌드위치 | 탕종숙식빵
28,70,40000,201,5.019,14,0.316307,0.004011,0.003243,0.316237,0.076874,1.206128,23.494090,0.001015,49630.0,알베로 냉동 생 파스타 | 올심찬 이색바람떡 | 미트볼샌드위치
