f1,f2,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.0015051661290483638,0.00041666666666662875,853.0,563.0,249.0,35.0,471.0,361.0,792.0,370.0,881.0,327.0,81.0,272.0
0.0010998320268756994,0.18916666666666662,719.0,740.0,304.0,35.0,471.0,361.0,134.0,54.0,289.0,230.0,96.0,58.0
0.0010998320268756994,0.18916666666666662,719.0,740.0,304.0,35.76246484219298,471.0,361.0,134.0,54.0,289.0,230.0,96.0,58.0
0.0015051661290483638,0.00041666666666662875,853.0,563.0,249.0,35.76246484219298,471.0,361.0,792.0,370.0,881.0,327.0,81.0,272.0
0.0016698237653810927,0.0,103.0,189.0,249.0,3.0,471.0,324.051338897435,84.0,356.0,447.0,230.0,81.0,253.84404081754928
0.0012305655262431331,0.06666666666666662,103.0,115.70185445441923,249.0,35.0,471.0,379.0,143.0,370.0,289.0,230.0,81.0,211.61397485712834
0.0015051661290483638,0.00041666666666662875,853.0,563.0,249.0,35.76246484219298,471.42721156686594,361.0,792.0,370.0,881.0,327.0,81.0,272.0
0.0012305655262431331,0.06666666666666662,103.0,115.70185445441923,249.0,35.76246484219298,471.0,379.0,143.0,370.0,289.0,230.0,81.0,211.61397485712834
0.0010998320268756994,0.18916666666666662,719.0,740.0,304.0,35.0,471.42721156686594,361.0,134.0,54.0,289.0,230.0,96.0,58.0
0.0016698237653810927,0.0,103.0,189.0,249.0,3.0,471.42721156686594,324.051338897435,84.0,356.0,447.0,230.0,81.0,253.84404081754928
0.0015051661290483638,0.00041666666666662875,853.0,563.0,249.0,35.0,471.42721156686594,361.0,792.0,370.0,881.0,327.0,81.0,272.0
0.0012305655262431331,0.06666666666666662,103.0,115.70185445441923,249.0,35.76246484219298,471.42721156686594,379.0,143.0,370.0,289.0,230.0,81.0,211.61397485712834
0.0010998320268756994,0.18916666666666662,719.0,740.0,304.0,35.76246484219298,471.42721156686594,361.0,134.0,54.0,289.0,230.0,96.0,58.0
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.76246484219298,471.0,379.0,143.0,371.50862115970534,483.0,230.0,81.0,250.12781140475806
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.0,471.0,379.0,143.0,371.50862115970534,483.0,230.0,81.0,250.12781140475806
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.0,471.42721156686594,379.0,143.0,371.1730146095055,483.0,230.0,81.0,250.12781140475806
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.0,471.42721156686594,379.0,143.0,371.1730146095055,483.0,230.0,81.0,250.88310427139731
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.76246484219298,471.42721156686594,379.0,143.0,371.1730146095055,483.0,230.0,81.0,250.12781140475806
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.76246484219298,471.42721156686594,379.0,143.0,371.1730146095055,483.0,230.0,81.0,250.0
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.76246484219298,471.42721156686594,379.0,143.0,371.1730146095055,483.0,230.0,81.0,250.10979735089745
0.000723232171323728,0.19583333333333325,103.0,501.4226579886452,249.0,35.76246484219298,471.42721156686594,379.0,143.0,371.50862115970534,483.0,230.0,81.0,250.0
