group,metric,mean,std,min,max,avg_time_sec,wilcoxon_p_vs_G3,seed_start,n_runs
G1,HV,0.078140,0.000026,0.078069,0.078188,6.457,0.8708,42,30
G1,GD+,0.044094,0.035429,0.006880,0.154100,6.457,0.0000,42,30
G1,IGD+,0.003596,0.001224,0.001597,0.006807,6.457,0.0000,42,30
G2,HV,0.078140,0.000030,0.078064,0.078191,7.223,1.0000,42,30
G2,GD+,0.008081,0.010547,0.001193,0.059181,7.223,1.0000,42,30
G2,IGD+,0.001787,0.000858,0.000279,0.004452,7.223,1.0000,42,30
G3,HV,0.078140,0.000030,0.078064,0.078191,7.198,nan,42,30
G3,GD+,0.008081,0.010547,0.001193,0.059181,7.198,nan,42,30
G3,IGD+,0.001787,0.000858,0.000279,0.004452,7.198,nan,42,30
