day,date,f1,f2,f3,f4
1,2026-05-07,0.0008999999999999773,0.004058584585973548,0.0029166666666666286,0.24999999999999994
2,2026-05-08,0.0025,0.0019215500641873399,0.00041666666666662875,0.24999999999999994
3,2026-05-09,0.0,0.001696641456098149,0.00041666666666662875,0.24999999999999994
4,2026-05-10,0.0011499999999999772,0.0046429642053999135,0.0041666666666666284,0.24999999999999994
5,2026-05-11,0.001,0.00336463687348444,0.0,0.24999999999999994
6,2026-05-12,0.001,0.00460258022504133,0.00041666666666662875,0.24999999999999994
7,2026-05-13,0.0015,0.00045420362309145357,0.0008333333333333712,0.24999999999999994
