f1,f2,f3,x0,x1,x2,x3
0.003,0.019351406509495756,0.00625,19.0,843.0,704.566085810607,402.0
0.004,0.10047814259033126,0.0,554.0,834.0,690.0,31.03678267190186
0.011,0.0024035010667712276,0.0,819.9019455262874,834.0,704.566085810607,331.35442768403425
0.0,0.009014588814224856,0.365,554.0,98.0,816.9064966016621,35.0
0.0,0.10600255890625974,0.0,561.0,802.5372843206314,78.27102013983355,371.0
0.0,0.023340449658887936,0.025,820.8737793455431,795.8965166276389,707.0,331.35442768403425
0.0055,0.028710281881620742,0.0,819.9019455262874,834.0,707.0,312.5903919163423
0.01,0.0022575008680805453,0.18125,19.0,682.0,704.566085810607,402.0
0.002,0.07716455000677426,0.015,913.6004779247212,98.0,694.0,331.35442768403425
0.0005,0.0047975232184679735,0.072875,873.5743715811391,175.0,707.0,331.7637528565887
0.0075,0.0026649834643441665,0.0875,819.9019455262874,312.0,707.0,331.35442768403425
0.008,0.004354152667393831,0.04375,19.0,682.0,707.0,389.83203503538294
0.028,0.001581018416269933,0.025,5.894647296535194,682.0,704.566085810607,373.51561572701
0.005,0.0027853302940735796,0.5625,873.5743715811391,686.2444986052014,707.0,331.7637528565887
0.006,0.012260967463866767,0.0,873.5743715811391,704.0,78.27102013983355,331.7637528565887
0.003,0.0033545174164175007,0.65,879.6820191228469,602.1709415299234,707.0,331.35442768403425
0.004,0.004171618950576474,0.525,794.5100916238531,832.2506329198502,707.0,331.35442768403425
0.0125,0.0018635959496209554,0.25,873.5743715811391,721.7226825229794,707.0,331.7637528565887
0.011,0.0024035010667712276,0.0,819.9019455262874,834.0,704.8360103661686,331.35442768403425
0.0055,0.008745268497173374,0.05,873.5743715811391,791.3977541874095,704.566085810607,331.7637528565887
0.028,0.001581018416269933,0.025,5.894647296535194,682.0,704.8360103661686,373.51561572701
0.01,0.0022575008680805453,0.18125,19.0,682.0,704.8360103661686,402.0
0.0005,0.011076934320679481,0.025,913.6004779247212,653.2644842881433,704.566085810607,331.35442768403425
0.003,0.019351406509495756,0.00625,19.0,843.0,704.8360103661686,402.0
0.0055,0.003706155372986649,0.1125,851.528615318893,834.0,707.0,331.7637528565887
0.0035,0.015878473598779776,0.0125,851.528615318893,821.7557954559082,704.8360103661686,331.7637528565887
0.028,0.001473959942742076,0.35,879.6820191228469,94.97345028120887,704.566085810607,331.35442768403425
0.0525,0.0010410285250348438,0.525,794.5100916238531,792.9544945389366,707.0,331.35442768403425
0.034,0.0015746060992520732,0.0875,785.0078470324547,312.0,707.0,331.35442768403425
0.021,0.0017850449228791318,0.3,819.9019455262874,845.5803392550105,707.0,331.35442768403425
0.0045,0.009742923456379868,0.05,851.528615318893,795.8965166276389,704.566085810607,331.7637528565887
0.021,0.0017850449228791318,0.3,819.9019455262874,845.8935374679218,707.0,331.35442768403425
0.0035,0.015878473598779776,0.0125,851.528615318893,821.7557954559082,704.566085810607,331.7637528565887
0.0005,0.011076934320679481,0.025,913.6004779247212,653.2644842881433,704.8360103661686,331.35442768403425
0.028,0.001473959942742076,0.35,879.6820191228469,94.97345028120887,704.8360103661686,331.35442768403425
0.0525,0.0010410285250348438,0.525,794.5100916238531,792.6241520140956,707.0,331.35442768403425
0.027,0.0018307357205382929,0.025,5.894647296535194,802.5372843206314,707.0,381.6281695100758
0.0225,0.0014746012956239852,0.65,879.6820191228469,817.0779573030583,707.0,331.35442768403425
