f1,f2,f3
0.032,0.0008586704333709523,0.0025
0.032,0.0008586704333709523,0.0025
0.4375,0.0011266802064069526,0.0
0.027,0.00021767104023618375,0.4575
0.027,0.00021767104023618375,0.4575
0.1005,0.00012866812813532637,0.27
0.009,0.00032642131325861905,6.59375
0.017,0.0010275470541310295,0.10125
0.1005,0.00012866812813532637,0.27
0.0015,0.0003334573262536615,9.16625
0.004,0.0032270680624671235,0.0075
0.0205,0.0021461051263070873,0.0075
0.031,0.001382262168184761,0.0075
0.031,0.001382262168184761,0.0075
0.0015,0.0007491041716494977,2.49875
0.0005,0.0020659557448246897,0.6625
0.0015,0.0007491041716494977,2.49875
0.0005,0.0020659557448246897,0.6625
0.0015,0.0007491041716494977,2.49875
0.0005,0.0020659557448246897,0.6625
0.0095,0.0023731091209269924,0.0
0.0,0.00291232502452151,0.02125
0.0,0.00291232502452151,0.02125
0.0,0.00291232502452151,0.02125
0.0,0.00291232502452151,0.02125
0.0,0.00291232502452151,0.02125
0.00025,0.028788713651452986,0.01
0.0,0.00291232502452151,0.02125
0.00025,0.028788713651452986,0.01
0.00025,0.028788713651452986,0.01
0.0095,0.0023731091209269924,0.0
0.007,0.0021602405472836666,0.05
0.007,0.0021602405472836666,0.05
0.0,0.00291232502452151,0.02125
0.0,0.00291232502452151,0.02125
0.007,0.0021602405472836666,0.05
0.0095,0.0023731091209269924,0.0
0.0,0.00291232502452151,0.02125
0.0,0.0023284232182117543,2.0575
0.0,0.0023284232182117543,2.0575
0.0,0.0028811921618184925,0.24875
0.0,0.0028811921618184925,0.24875
0.0,0.0028811921618184925,0.24875
0.0005,0.004148025641740798,0.0
0.002,0.0022597261556471745,0.025
0.002,0.0022597261556471745,0.025
0.002,0.0022597261556471745,0.025
0.002,0.0022597261556471745,0.025
0.002,0.0022597261556471745,0.025
0.0005,0.004148025641740798,0.0
0.0005,0.004148025641740798,0.0
0.0005,0.004148025641740798,0.0
0.002,0.0022597261556471745,0.025
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.007850000000000022,0.0009946613962031258,0.125
0.007850000000000022,0.0009946613962031258,0.125
0.007850000000000022,0.0009946613962031258,0.125
0.007850000000000022,0.0009946613962031258,0.125
0.007850000000000022,0.0009946613962031258,0.125
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.007850000000000022,0.0009946613962031258,0.125
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.007850000000000022,0.0009946613962031258,0.125
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.1835,9.0001577034227e-05,0.55
0.004,0.0007508080988060266,0.1875
0.004,0.0007508080988060266,0.1875
0.0185,0.0006405252867347688,0.3925
0.0185,0.0006405252867347688,0.3925
0.0165,0.0007111072452950335,0.2375
0.088,0.00025595342410772947,0.075
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.088,0.00025595342410772947,0.075
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.088,0.00025595342410772947,0.075
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.0,0.018879164596273142,0.0125
0.623,0.00034930558716362437,0.02875
0.623,0.00034930558716362437,0.02875
0.0,0.0026054193698624847,0.4775
0.0,0.040432669271842595,0.0
0.0,0.040432669271842595,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.009,0.0031631463341525263,0.0
0.009,0.0031631463341525263,0.0
0.009,0.0031631463341525263,0.0
0.009,0.0031631463341525263,0.0
0.034,0.001226196730381276,0.0
0.009,0.0031631463341525263,0.0
0.009,0.0031631463341525263,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.0,0.040432669271842595,0.0
0.0195,0.0023713792275450365,0.0
0.0,0.040432669271842595,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.0195,0.0023713792275450365,0.0
0.0195,0.0023713792275450365,0.0
0.009,0.0031631463341525263,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.0195,0.0023713792275450365,0.0
0.0195,0.0023713792275450365,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.034,0.001226196730381276,0.0
0.009,0.0031631463341525263,0.0
0.034,0.001226196730381276,0.0
0.0,0.040432669271842595,0.0
0.034,0.001226196730381276,0.0
0.001,0.0013096673891814135,0.06125
0.0025,0.0036713846676951424,0.0125
0.0025,0.0036713846676951424,0.0125
0.0075,0.002388664064509666,0.0125
0.0075,0.002388664064509666,0.0125
0.0075,0.002388664064509666,0.0125
0.02,0.00045459133342534616,0.0125
0.02,0.00045459133342534616,0.0125
0.02,0.00045459133342534616,0.0125
0.002,0.003973156133642758,0.0125
0.008,0.001929536298740848,0.0125
0.0025,0.0036713846676951424,0.0125
0.002,0.003973156133642758,0.0125
0.002,0.003973156133642758,0.0125
0.004,0.000510652842091061,0.6875
0.008,0.001929536298740848,0.0125
0.008,0.001929536298740848,0.0125
0.004,0.000510652842091061,0.6875
0.004,0.000510652842091061,0.6875
0.002,0.003973156133642758,0.0125
0.0075,0.002388664064509666,0.0125
0.008,0.001929536298740848,0.0125
0.02,0.00045459133342534616,0.0125
0.001,0.0011147966456931412,1.0725
0.001,0.0011147966456931412,1.0725
0.1345,9.976394243347422e-05,0.365
0.0225,0.0019924422770166384,0.0025
0.014,0.0017395773722919579,0.0225
