run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,4.322,94,0.112058,0.095936,0.009076,0.011487,0.299613,1.421749,15000000.000000,0.000000,8740.0,
1,43,40000,201,4.303,38,0.024880,0.174656,0.003145,0.007580,0.299418,0.890299,11.566781,0.000000,5080.0,
2,44,40000,201,4.213,100,0.064610,0.121462,0.006195,0.010022,0.300762,1.478944,15000000.000000,0.000000,8200.0,
3,45,40000,201,4.157,190,0.130171,0.077757,0.008965,0.026178,0.303089,1.558851,30000000.000000,0.000000,8190.0,
4,46,40000,201,4.319,142,0.026779,0.135676,0.004206,0.006384,0.301333,1.336246,10000000.000000,0.000000,9000.0,
5,47,40000,201,4.103,51,0.155557,0.062534,0.003797,0.011419,0.301587,1.128543,5000000.000000,0.000000,5500.0,
6,48,40000,201,4.079,66,0.212436,0.055142,0.007130,0.014705,0.305585,1.264049,25000000.000000,0.000000,10300.0,
7,49,40000,201,4.142,55,0.081868,0.156750,0.008115,0.011114,0.302193,1.466817,7.557418,0.000000,8000.0,
8,50,40000,201,4.032,37,0.050871,0.105748,0.003187,0.009366,0.299203,1.171490,22500000.000000,0.000000,35880.0,
9,51,40000,201,4.293,68,0.072404,0.107745,0.005403,0.006162,0.299755,1.337115,5000000.000000,0.000000,7900.0,
10,52,40000,201,4.598,112,0.037088,0.186185,0.001146,0.004424,0.302774,1.545897,10000000.000000,0.000000,8170.0,
11,53,40000,201,4.185,104,0.056880,0.099392,0.001125,0.004806,0.303499,1.483144,5000000.000000,0.000000,24460.0,
12,54,40000,201,3.991,42,0.078106,0.102075,0.005239,0.023380,0.300335,1.048119,15000000.000000,0.000000,5420.0,
13,55,40000,201,4.234,107,0.056889,0.095404,0.007382,0.008803,0.303152,1.302587,65000000.000000,0.000000,10800.0,
14,56,40000,201,4.527,171,0.050940,0.092684,0.011182,0.009499,0.304829,1.488281,5000000.000000,0.000000,29120.0,
15,57,40000,201,4.255,60,0.064075,0.112306,0.005936,0.013531,0.303745,1.253175,40000000.000000,0.000000,7480.0,
16,58,40000,201,4.030,75,0.080774,0.114091,0.007787,0.031081,0.298383,1.422663,40000000.000000,0.000000,17500.0,
17,59,40000,201,4.249,110,0.071582,0.077164,0.004800,0.008264,0.302576,1.309397,45000000.000000,0.000000,2500.0,
18,60,40000,201,4.078,103,0.077849,0.087638,0.014631,0.016399,0.301670,1.214820,20000000.000000,0.000000,3400.0,
19,61,40000,201,4.221,130,0.096093,0.101639,0.007103,0.017880,0.303443,1.511940,40000000.000000,0.000000,7900.0,
20,62,40000,201,4.063,96,0.086298,0.078274,0.008782,0.015227,0.301405,1.326956,5000000.000000,0.000000,52700.0,
21,63,40000,201,4.093,94,0.061203,0.074760,0.014118,0.016535,0.300911,1.305689,5000000.000000,0.000000,23920.0,
22,64,40000,201,4.314,61,0.053096,0.187267,0.004475,0.008080,0.287042,1.366573,15000000.000000,0.000000,6900.0,
23,65,40000,201,4.194,84,0.037614,0.139280,0.009361,0.010939,0.303075,1.187835,12.996002,0.000000,6820.0,
24,66,40000,201,4.227,49,0.251501,0.090476,0.006213,0.013646,0.300714,1.342507,5000000.000000,0.000000,23100.0,
25,67,40000,201,4.318,139,0.046000,0.107863,0.001615,0.003852,0.298498,1.507823,13.624169,0.000000,8000.0,
26,68,40000,201,4.185,81,0.062633,0.132865,0.011589,0.029566,0.299367,1.434924,20000000.000000,0.000000,6900.0,
27,69,40000,201,4.165,65,0.042517,0.175102,0.003578,0.030014,0.297323,1.166602,5000000.000000,0.000000,10390.0,
28,70,40000,201,4.282,117,0.019066,0.171321,0.003893,0.008410,0.303983,1.456662,11.131642,0.000000,12590.0,
29,71,40000,201,4.278,54,0.043127,0.123268,0.005078,0.011598,0.305205,1.064840,25000000.000000,0.000000,3300.0,
