f1,f2,f3,x0,x1,x2,x3
0.0,0.07902792874002476,0.0125,564.0,253.0109320066383,355.0,52.0
0.0,0.021149510998014067,0.06125,536.567244541123,395.0,491.0,313.0
0.005,0.008511154307913334,0.4375,536.0,241.86014883971427,549.0,312.12845051731387
0.0015,0.0007491041716494977,2.49875,542.2219900162239,217.7948881797863,491.0,312.12845051731387
0.0005,0.0020659557448246897,0.6625,542.2219900162239,241.86014883971427,677.0,312.12845051731387
0.0015,0.010973296004840292,0.27625,542.2219900162239,391.4512355046079,127.0,312.12845051731387
0.046,0.010126262516519033,0.0,678.3156690195326,80.0,704.9942024899291,327.0
0.0015,0.010973296004840292,0.27625,542.2219900162239,391.4512355046079,127.0,312.5131405552003
0.027,0.003489733802545515,0.125,542.2219900162239,47.0,292.90978954252444,312.12845051731387
0.0005,0.011111674970596364,0.0,542.2219900162239,395.0,292.90978954252444,312.12845051731387
0.027,0.003489733802545515,0.125,542.2219900162239,47.43172689444237,292.90978954252444,312.12845051731387
0.027,0.003489733802545515,0.125,542.2219900162239,47.0,292.90978954252444,312.5131405552003
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.0,559.3426696380867,327.0
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.43172689444237,559.3426696380867,327.0
0.0015,0.0007491041716494977,2.49875,542.2219900162239,217.7948881797863,491.0,312.5131405552003
0.0005,0.011111674970596364,0.0,542.2219900162239,395.0,292.90978954252444,312.5131405552003
0.027,0.003489733802545515,0.125,542.2219900162239,47.43172689444237,292.90978954252444,312.5131405552003
0.0005,0.0020659557448246897,0.6625,542.2219900162239,241.86014883971427,677.0,312.5131405552003
0.073,0.003003815444454502,0.42,542.2219900162239,80.0,530.580780805752,312.12845051731387
0.0375,0.0022275444487391124,0.5625,536.0,241.86014883971427,54.0,312.12845051731387
0.073,0.003003815444454502,0.42,542.2219900162239,80.0,530.580780805752,312.5131405552003
0.1555,0.001869141740983696,0.1,547.7149450712308,111.0,677.0,312.12845051731387
0.0095,0.004213765228179701,0.25,543.0622007628059,47.0,80.80517911896558,327.0
0.0055,0.010326153156127824,0.21625,536.0,241.86014883971427,539.8899197306866,312.12845051731387
0.171,0.003545608977957005,0.0,547.7149450712308,173.0,111.1610125707767,312.12845051731387
0.0375,0.0022275444487391124,0.5625,536.0,241.86014883971427,54.0,312.4661587231807
0.0055,0.010326153156127824,0.21625,536.0,241.86014883971427,539.8899197306866,312.4661587231807
0.027,0.003489733802545515,0.125,542.5020598640006,47.43172689444237,292.90978954252444,312.12845051731387
0.0005,0.011111674970596364,0.0,542.5020598640006,395.0,292.90978954252444,312.12845051731387
0.0095,0.004213765228179701,0.25,543.0622007628059,47.43172689444237,80.80517911896558,327.0
0.0015,0.0007491041716494977,2.49875,542.5020598640006,217.7948881797863,491.0,312.12845051731387
0.005,0.008511154307913334,0.4375,536.0,241.86014883971427,549.0,312.4661587231807
0.027,0.003489733802545515,0.125,542.5020598640006,47.0,292.90978954252444,312.12845051731387
0.155,0.003326507326686128,0.125,547.7149450712308,253.0109320066383,54.0,312.12845051731387
0.0095,0.004213765228179701,0.25,543.0622007628059,47.0,80.80517911896558,327.2570036602824
0.0095,0.004213765228179701,0.25,543.0622007628059,47.43172689444237,80.80517911896558,327.2570036602824
0.073,0.003003815444454502,0.42,542.5020598640006,80.0,530.580780805752,312.12845051731387
0.0055,0.010326153156127824,0.21625,536.0,241.86014883971427,539.8899197306866,312.1660163431577
0.0,0.011674083419835843,1.5375,536.0,47.679428589667104,499.13296530575514,312.12845051731387
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.43172689444237,559.3426696380867,327.2570036602824
0.005,0.008511154307913334,0.4375,536.0,241.86014883971427,549.0,312.1660163431577
0.0065,0.005061520594873065,0.1125,555.3958113342153,47.0,320.81759591523104,312.12845051731387
0.0375,0.0022275444487391124,0.5625,536.0,241.86014883971427,54.0,312.1660163431577
0.0015,0.010973296004840292,0.27625,542.5020598640006,391.4512355046079,127.0,312.12845051731387
0.0,0.011674083419835843,1.5375,536.0,47.0,499.13296530575514,312.12845051731387
0.0,0.011674083419835843,1.5375,536.0,47.43172689444237,499.13296530575514,312.12845051731387
0.0005,0.0020659557448246897,0.6625,542.5020598640006,241.86014883971427,677.0,312.12845051731387
0.027,0.003489733802545515,0.125,542.2219900162239,47.679428589667104,292.90978954252444,312.12845051731387
0.073,0.003003815444454502,0.42,542.5020598640006,80.0,530.5305633897716,312.12845051731387
0.027,0.003489733802545515,0.125,542.2219900162239,47.679428589667104,292.90978954252444,312.5131405552003
0.0095,0.004213765228179701,0.25,543.0622007628059,47.679428589667104,80.80517911896558,327.0
0.0095,0.004213765228179701,0.25,543.0622007628059,47.679428589667104,80.80517911896558,327.2570036602824
0.0065,0.005061520594873065,0.1125,555.3958113342153,47.679428589667104,320.81759591523104,312.12845051731387
0.027,0.003489733802545515,0.125,542.5020598640006,47.679428589667104,292.90978954252444,312.12845051731387
0.073,0.003003815444454502,0.42,542.2219900162239,80.0,530.5305633897716,312.12845051731387
0.02,0.011099099380928939,0.0,555.3958113342153,47.679428589667104,549.0,312.12845051731387
0.0,0.011674083419835843,1.5375,536.0,47.679428589667104,499.13296530575514,312.4661587231807
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.679428589667104,559.3426696380867,327.2570036602824
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.679428589667104,559.3426696380867,327.0
0.02,0.011099099380928939,0.0,555.3958113342153,47.43172689444237,549.0,312.12845051731387
0.0,0.011674083419835843,1.5375,536.0,47.0,499.13296530575514,312.1660163431577
0.0,0.011674083419835843,1.5375,536.0,47.0,499.13296530575514,312.4661587231807
0.02,0.011099099380928939,0.0,555.3958113342153,47.0,549.0,312.12845051731387
0.0065,0.005061520594873065,0.1125,555.3958113342153,47.43172689444237,320.81759591523104,312.12845051731387
0.0125,0.0071698321276788,0.0125,555.3958113342153,47.679428589667104,461.384938261125,312.12845051731387
0.04,0.0031857629445870405,0.1375,555.3958113342153,395.0,461.384938261125,312.12845051731387
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.0,559.3426696380867,327.3211390310268
0.0005,0.010888083524588199,0.5625,543.0622007628059,47.679428589667104,559.3426696380867,327.3211390310268
