f1,f2,f3,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.01825,0.23170502253283887,5.315833333333333,41.0,637.0,756.0,126.0,903.0,28.0,254.0,48.0,396.0,70.0,271.0,186.0
0.454,0.06809919107133412,0.09416666666666663,19.0,223.0,236.0,389.0,567.0,645.0,42.0,206.0,313.0,721.0,519.0,234.0
0.187,0.01616778783124005,3.329166666666667,264.0,232.0,658.0,5.0,901.0,106.0,382.0,124.0,70.0,244.0,128.0,282.0
0.528,0.05168869217661934,0.7208333333333332,19.0,223.0,236.0,389.0,567.0,645.0,382.0,204.0,313.0,721.0,519.0,234.0
0.075,0.15670853965669498,3.389166666666667,623.0,190.0,810.0,1.0,464.0,28.0,254.0,48.0,396.0,70.0,271.0,344.0
0.275,0.06657627776967068,2.3447083333333336,483.0,818.0,124.0,186.0,449.0,39.0,716.0,249.0,255.0,683.0,148.0,1.0
0.40825,0.10083400448746027,0.8,19.0,223.0,756.0,126.0,903.0,645.0,42.0,206.0,562.0,721.0,519.0,234.0
0.079,0.12829831896324395,1.82625,19.0,818.0,124.0,186.0,449.0,39.0,716.0,249.0,255.0,721.0,519.0,234.0
0.149,0.07545124108145357,1.46625,19.0,818.0,124.0,186.0,449.0,39.0,716.0,249.0,255.0,208.0,737.0,234.0
0.1635,0.1215647116098929,1.3508333333333336,802.0,356.0,236.0,342.0,901.0,106.0,382.0,124.0,70.0,244.0,128.0,327.0
