f1,f2,f3,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
0.3835,0.03597680542053199,5.933333333333333,625.0,623.0,154.0,37.0,669.0,308.0,310.0,189.0,153.0,369.0,706.0,227.0
0.6065,0.01183497830839991,0.06458333333333337,413.0,608.0,785.0,113.0,648.0,644.0,782.0,325.0,898.0,369.0,706.0,206.0
0.0655,0.19903903220371566,1.65625,413.0,608.0,785.0,226.0,338.0,395.0,348.0,53.0,796.0,328.0,675.0,206.0
0.0525,0.05864367937716885,5.3625,625.0,623.0,154.0,37.0,669.0,308.0,310.0,189.0,898.0,713.0,682.0,227.0
0.343,0.08575418214263307,0.23333333333333325,85.0,446.0,424.0,184.0,157.0,644.0,782.0,325.0,898.0,713.0,682.0,113.0
0.009,0.1553390629896839,2.6420833333333333,419.0,645.0,662.0,363.0,64.0,422.0,348.0,53.0,417.0,328.0,6.0,187.0
0.053,0.04337852361942948,2.4529166666666664,419.0,645.0,662.0,363.0,64.0,422.0,631.0,77.0,417.0,682.0,6.0,187.0
0.1025,0.11687242956046921,0.0675,413.0,608.0,662.0,363.0,54.71279455135529,166.3956644370582,631.0,89.6338032988424,796.0,682.0,675.0,206.0
0.0715,0.03681567532782365,0.7354166666666667,413.0,608.0,785.0,113.0,648.0,644.0,782.0,325.0,796.0,328.0,675.0,206.0
