f1,f2,f3
0.0,0.0016310371205831683,0.09125
0.0,0.0016310371205831683,0.09125
0.0,0.004144999856516341,0.0
0.0,0.004144999856516341,0.0
0.002,0.003937776374402435,0.01625
0.0195,0.0006951177945468419,0.012625
0.002,0.003937776374402435,0.01625
0.002,0.003937776374402435,0.01625
0.0195,0.0006951177945468419,0.012625
0.002,0.003937776374402435,0.01625
0.002,0.003937776374402435,0.01625
0.002,0.003937776374402435,0.01625
0.06,0.0001249600650803831,0.5875
0.06,0.0001249600650803831,0.5875
0.0015,0.0003334573262536615,9.16625
0.255,0.0001524605506685683,0.15
0.0035,0.0011621419539089828,0.0125
0.0,0.0015569253015399896,0.30125
0.018,0.000747855692047305,0.0
0.255,0.0001524605506685683,0.15
0.0035,0.0011621419539089828,0.0125
0.0,0.0015569253015399896,0.30125
0.0035,0.0011621419539089828,0.0125
0.0,0.0015569253015399896,0.30125
0.0,0.0015569253015399896,0.30125
0.0035,0.0011621419539089828,0.0125
0.125,0.0003191616654304361,0.0
0.125,0.0003191616654304361,0.0
0.003,0.0013126002963923197,0.06125
0.0005,0.0036975721233094123,0.0675
0.0005,0.0036975721233094123,0.0675
0.0005,0.0036975721233094123,0.0675
0.007,0.0007254713792949171,0.06125
0.003,0.0013126002963923197,0.06125
0.0005,0.0036975721233094123,0.0675
0.0005,0.0036975721233094123,0.0675
0.0265,0.0001660466934911895,0.19875
0.0265,0.0001660466934911895,0.19875
0.0265,0.0001660466934911895,0.19875
0.0015,0.002949817544878567,0.045
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.013,0.0010473137363525313,0.06
0.3045,0.0002502733643561133,0.025
0.015,0.0019267060266995489,0.0
0.0,0.001458468939117931,2.325
0.0,0.001458468939117931,2.325
0.0057999999999999545,0.00013229583803696488,0.82125
0.0057999999999999545,0.00013229583803696488,0.82125
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.0057999999999999545,0.00013229583803696488,0.82125
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.0057999999999999545,0.00013229583803696488,0.82125
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.003,0.000306553013794824,0.25875
0.087,0.00014174325139038076,0.56125
0.0125,0.0004362306878825818,0.125
0.0005,0.0004510033992423728,0.22375
0.0005,0.0004510033992423728,0.22375
0.0075,0.0027979581441482547,0.00625
