f1,f2,f3,x0,x1,x2,x3
0.566,0.0013991716026297673,0.0,697.0,5.0,714.0,21.0
0.0125,0.008780486884636566,0.1125,682.0,198.0,694.0,335.0
0.0405,0.002995575181941637,0.0625,869.0,805.0,678.0,25.0
0.047,0.002364284311493995,0.1375,671.4356501668859,198.0,694.0,280.85136973174093
0.003,0.0015200639634189873,0.5375,682.0,797.8224959497676,678.0,335.0
0.0605,0.003861184840742725,0.0125,282.0,156.0,678.0,212.2364842446776
0.0205,0.012586409376532843,0.0625,883.2917037899565,228.4481011756214,694.0,25.0
0.004,0.02517949833288545,0.0625,883.2917037899565,228.4481011756214,678.0,25.0
0.0015,0.005654827307565672,0.225,883.2917037899565,744.0,706.0,25.0
0.0195,0.0002471993386639817,6.75625,526.0,10.239791403260465,136.0,179.57945584168544
0.055,0.00814802263592502,0.0125,519.2437687336256,105.0,678.0,75.0
0.002,0.029291933229534127,0.0125,668.5346113209265,797.8224959497676,706.0,335.0
0.022,0.0071132455075683014,0.03125,471.66692368375413,744.0,694.0,310.1954990104297
0.0685,0.009032954234307052,0.0,671.4356501668859,94.428174772358,678.0,280.85136973174093
0.0,0.048990028465325054,0.04625,928.6685266224156,3.5760058828210752,639.0,13.773829776269132
0.0005,0.051407346001347824,0.0,548.3774153830662,5.0,694.0,408.0
0.003,0.0004894097810122653,3.32375,536.0,127.80656592046627,136.0,57.49620096330279
0.0,0.019981156525540486,1.875,682.0,599.0,678.0,335.0
0.0055,0.012826740083522062,0.02625,682.0,127.80656592046627,694.0,335.0
0.0015,0.030204708501578276,0.0,682.0,160.4487252167405,694.0,335.0
0.0015,0.009720015888019934,0.1125,883.2917037899565,743.4244776072477,694.0,25.0
0.0,0.022585006180941763,0.225,668.1694045602878,3.5760058828210752,678.0,335.0
0.0005,0.012401451390639431,0.07375,869.0,127.80656592046627,704.5725571032854,19.149163396723317
0.0,0.022585006180941763,0.225,668.5346113209265,3.5760058828210752,678.0,335.0
0.0105,0.0002837300711515222,3.39875,526.0,127.80656592046627,136.0,167.55133869599226
0.532,0.0006866055207429652,0.5775,697.0,129.67558467825694,686.0,21.0
0.0125,0.008780486884636566,0.1125,682.0,198.0,694.0,335.2052830195188
0.0815,0.0016876573984429485,0.1475,679.7840061547371,129.67558467825694,678.0,335.0
0.127,0.0013293889423833388,0.2125,869.0,198.0,678.0,19.149163396723317
0.5595,0.0028403201117472264,0.0,697.0,5.0,714.0,26.099388053983123
0.0205,0.01364912150266894,0.0,671.4356501668859,5.0,704.5725571032854,280.85136973174093
0.011,0.016771970796991203,0.0125,519.2437687336256,743.4244776072477,678.0,75.0
0.0005,0.00462929887074291,3.5375,526.0,156.0,136.0,190.69601787981782
0.0125,0.008780486884636566,0.1125,682.0,198.85969357218102,694.0,335.2052830195188
0.0615,0.001994480519037051,0.12625,282.0,127.80656592046627,678.0,212.2364842446776
0.03,0.005653043665899146,0.085,933.8694187488411,426.8110640630838,706.0,25.0
0.002,0.029291933229534127,0.0125,668.1694045602878,797.8224959497676,706.0,335.0
0.003,0.0015200639634189873,0.5375,682.0,797.8224959497676,678.0,335.2052830195188
0.052,0.012129181707375343,0.0,671.4356501668859,94.428174772358,704.5725571032854,280.85136973174093
0.0,0.019981156525540486,1.875,682.0,599.0,678.0,335.2052830195188
0.0055,0.012826740083522062,0.02625,682.0,127.80656592046627,694.0,335.2052830195188
0.0125,0.008780486884636566,0.1125,682.0,198.85969357218102,694.0,335.0
0.047,0.002364284311493995,0.1375,671.4356501668859,198.85969357218102,694.0,280.85136973174093
0.001,0.0007748857481508705,1.975,536.0,198.0,136.0,56.789669163703
0.0015,0.030204708501578276,0.0,682.0,160.4487252167405,694.0,335.2052830195188
0.127,0.0013293889423833388,0.2125,869.0,198.85969357218102,678.0,19.149163396723317
0.126,0.0014204847988508085,0.5625,692.3623460620685,156.0,694.0,335.0
0.0005,0.005163230247090076,2.62375,536.0,186.6236931622311,136.0,3.869739345869599
0.0025,0.0038958327781108094,1.535,536.0,129.67558467825694,136.0,3.869739345869599
0.4885,0.00668076481878344,0.0,682.0,160.4487252167405,686.0,335.2052830195188
0.001,0.0007748857481508705,1.975,536.0,198.85969357218102,136.0,56.789669163703
0.0325,0.003542061522664269,0.065,671.4356501668859,117.77110230878493,704.5725571032854,280.85136973174093
0.052,0.0015659353069503125,0.2275,869.0,129.67558467825694,704.5725571032854,25.0
0.002,0.0025504797098499185,1.83625,536.0,127.80656592046627,136.0,3.869739345869599
0.0105,0.0002837300711515222,3.39875,526.0,127.06496780282825,136.0,167.55133869599226
0.4885,0.00668076481878344,0.0,682.0,160.4487252167405,686.0,335.0
0.0055,0.012826740083522062,0.02625,682.0,127.06496780282825,694.0,335.0
0.0055,0.012826740083522062,0.02625,682.0,127.06496780282825,694.0,335.2052830195188
0.001,0.030136181652956437,0.05,648.3396968323464,834.9310572994071,694.0,335.0
0.0055,0.012826740083522062,0.02625,682.7362617800987,127.80656592046627,694.0,335.0
0.06,0.0001249600650803831,0.5875,626.3647894529172,198.0,694.0,335.0
0.006,0.004566359544948718,0.1225,692.3623460620685,129.67558467825694,706.0,335.0
