day,date,f1,f2,f3,f4
1,2026-05-07,0.057299999999999955,0.020536039850580536,0.054583333333333255,0.1923076923076923
2,2026-05-08,0.0275,0.09595381703087735,0.6266666666666667,0.1923076923076923
