group,metric,mean,std,min,max,avg_time_sec,wilcoxon_p_vs_G3,seed_start,n_runs
G1,HV,3.536108,0.001230,3.533264,3.538103,4.895,0.0000,42,30
G1,GD+,0.035839,0.023611,0.006113,0.116036,4.895,0.0039,42,30
G1,IGD+,0.005826,0.002503,0.002163,0.012657,4.895,0.0000,42,30
G2,HV,3.537119,0.001048,3.533972,3.538623,5.840,0.0000,42,30
G2,GD+,0.005167,0.002999,0.000530,0.011379,5.840,0.0001,42,30
G2,IGD+,0.002121,0.001038,0.000494,0.005619,5.840,0.0000,42,30
G3,HV,0.005949,0.001725,0.003185,0.010172,9.443,nan,42,30
G3,GD+,0.018933,0.012770,0.000105,0.044188,9.443,nan,42,30
G3,IGD+,0.124531,0.168536,0.012444,0.628823,9.443,nan,42,30
