f1,f2,x0,x1,x2,x3
0.013117843930172943,0.025,606.4220721501372,835.6317343830729,711.4661938923232,353.0
0.013117843930172943,0.025,606.4220721501372,835.6317343830729,711.9197219307711,353.0
0.007321640877095558,0.975,638.0,789.0,746.0683715728998,270.0
0.011912573234921075,0.0375,606.6761511599627,745.0,707.8474405180467,181.79779941054588
0.013117843930172943,0.025,606.4220721501372,835.6317343830729,711.8438843547898,353.0
0.025045399154439194,0.0,193.7597589656084,711.0,682.4052045787752,261.96203421549734
0.00793038095902078,0.725,147.62498289510617,620.0,707.8474405180467,200.0
0.009088249736406085,0.125,193.7597589656084,711.0,740.8057227078009,261.96203421549734
0.009088249736406085,0.125,193.7597589656084,711.0,740.5266383977113,261.96203421549734
0.01784298064708957,0.0075,497.7754970432122,558.6963743335198,711.4661938923232,19.0
