run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,4.941,8,nan,nan,nan,nan,0.000000,1.204880,inf,0.005096,5890.0,
1,43,40000,201,4.968,166,nan,nan,nan,nan,0.000000,1.321280,inf,0.002968,3500.0,
2,44,40000,201,4.872,14,nan,nan,nan,nan,0.000000,1.781998,inf,0.009402,7990.0,
3,45,40000,201,4.651,19,nan,nan,nan,nan,0.000000,1.179568,inf,0.001399,8570.0,
4,46,40000,201,4.829,19,nan,nan,nan,nan,0.000000,1.185210,inf,0.003931,4500.0,
5,47,40000,201,4.734,5,nan,nan,nan,nan,0.000000,1.150766,inf,0.012748,2500.0,
6,48,40000,201,5.239,13,nan,nan,nan,nan,0.000000,1.685516,inf,0.004919,7990.0,
7,49,40000,201,6.026,146,nan,nan,nan,nan,0.000000,1.325078,inf,0.009352,10000.0,
8,50,40000,201,4.968,17,nan,nan,nan,nan,0.000000,1.291670,inf,0.004699,6300.0,
9,51,40000,201,5.254,41,nan,nan,nan,nan,0.000000,1.250233,inf,0.001934,10930.0,
10,52,40000,201,6.385,137,nan,nan,nan,nan,0.000000,1.494742,inf,0.004151,7770.0,
11,53,40000,201,5.192,179,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
12,54,40000,201,4.601,8,nan,nan,nan,nan,0.000000,1.097900,inf,0.002539,980.0,
13,55,40000,201,5.691,200,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
14,56,40000,201,4.360,13,nan,nan,nan,nan,0.000000,1.202544,inf,0.001224,8560.0,
15,57,40000,201,5.377,36,nan,nan,nan,nan,0.000000,1.287365,inf,0.003762,8500.0,
16,58,40000,201,4.862,30,nan,nan,nan,nan,0.000000,1.225637,inf,0.002944,16500.0,
17,59,40000,201,5.691,200,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
18,60,40000,201,5.091,6,nan,nan,nan,nan,0.000000,1.066669,inf,0.003488,13300.0,
19,61,40000,201,6.323,200,nan,nan,nan,nan,0.000000,1.368992,inf,0.029387,8100.0,
20,62,40000,201,4.973,27,nan,nan,nan,nan,0.000000,1.219006,inf,0.005801,11400.0,
21,63,40000,201,5.087,200,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
22,64,40000,201,5.827,200,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
23,65,39999,201,6.904,200,nan,nan,nan,nan,0.000000,0.000000,inf,0.002912,8000.0,
24,66,40000,201,5.282,32,nan,nan,nan,nan,0.000000,1.238069,inf,0.011556,0.0,
25,67,40000,201,5.012,12,nan,nan,nan,nan,0.000000,1.156366,inf,0.003592,2550.0,
26,68,40000,201,5.929,200,nan,nan,nan,nan,0.000000,0.000000,inf,nan,8000.0,
27,69,40000,201,6.614,200,nan,nan,nan,nan,0.000000,1.316255,inf,0.003412,11200.0,
28,70,40000,201,4.957,60,nan,nan,nan,nan,0.000000,1.278884,inf,0.002395,12080.0,
29,71,40000,201,5.163,108,nan,nan,nan,nan,0.000000,1.300671,inf,0.007226,15200.0,
