day,date,breakfast,lunch,dinner,total_calories,total_price
1,2026-05-07,온니중화면 / 사천왕)마라탕면(소컵) / 궁보천,마라고추잡채와꽃빵 / 오즈키친 정통 직화 유니짜장 / 안동찜닭 / 오트몬드프로틴ZEROSUAR쿠키앤크림,팬싯칸톤 차우멘 오리지널향 / 그물망짜조 / 췌야츠 향라수니우두 / 흑염소녹용골드프리미엄,1938,24690
2,2026-05-08,23cm한번자른당면 / 코코스 통살 닭가슴살 떡볶이맛 / 알라미피자치즈91,새우하오카오 / 오뚜기)짜슐랭컵 / 중국식 육즙 군만두 / 뷰티 리얼 콜라겐 5000,오토셰프 짜장면 / 유산슬 / 델리츠 통새우 멘보샤 (삼각) / 세븐업골드,2220,26580
3,2026-05-09,캐릭터분모자(냉동식품) / 냉동원팩마라탕 / 맛있닭 스팀 닭가슴살 마라맛 / 카페라떼 라지,순한마파두부소스 세트(W) / 맛있닭 소스 통 닭가슴살 불고기 / 한우케일새송이죽 / 프리미엄리얼콜라겐5200,용찰당면(13K) / 이연복 셰프의 새우 야채춘권(새우29함유) / 짱구)짱구는왕배불러라면 / 달그락 사계절 전통식혜,2126,55170
4,2026-05-10,"혜자로운)알찬한끼세트 / 더커진묵은지참치볶음 / 밑반찬3종(간장진미채,마늘종장아찌무침,오이고추된장무침) / 카페라떼(살균우유)",고단백 컵누들 마라샹궈맛 / 도)압도적뉴한돈김치제육 / 병천아우내순대국 / 한국배 주스 Korean Pear Juice,마라탕면 / 짜먹는 맥문동 호박죽 / 묵은지닭볶음탕 / 바닐라 라떼 미디엄,2011,24000
5,2026-05-11,분모자 / 열혈주방 화끈큐브불족발 / 국밥킹 (세절)전통순대 / 식스파머스 모과 생강차 진액,핫앤쿡매콤짜장비빔밥 / 췌야츠 향라수니우두 / 탈각새우 / 담데일리 알로에  콜라겐스틱,차알중화면 / CJ)비비고순살고등어구이 / 오즈키친 정통 직화 유니짜장 / 아이스 카페라떼(시럽없음) 미디엄,1995,24020
6,2026-05-12,홍콩식에그누들볶음면 / 브릭브레드 롱소세지 / 오뚜기)짜슐랭컵 / 스프라이트(L),일품당면 / 그물망짜조 / 굴다리 김정배명인 백명란젓(냉동) / 프리마파베 블랑 드 블랑 스파클링 Non alcoholic,마라고추잡채와꽃빵 / 유산슬 / 사랑해어 부산에서 온 천일염 옥돔 / 어프리데이 핑크부츠,1968,23900
7,2026-05-13,치킨햄치즈샌드위치 / 사천왕)마라탕면(소컵) / 중국식 육즙 군만두 / 딥브라운 콜드브루,팬싯칸톤 차우멘 오리지널향 / 델리츠 통새우 멘보샤 (삼각) / 헬스파워 촉촉닭가슴살 / 궁보천,"찬타분라이스스틱 / 슈슈당 새우쇼마이 / 냉동새우살(흰다리새우,자숙,꼬리포함) / 마르니스 디카페인 블랜딩 콜드브루",2245,65180
