f1,f2,f3,x0,x1,x2,x3
0.037,0.0021586443535270543,6.9125,954.0,176.960864834919,691.0,338.6912320079379
0.029,0.003431420549362135,0.2625,689.0,81.0,691.0,396.0
0.062,0.0020673946503821064,6.9125,954.0,176.960864834919,842.0,338.6912320079379
0.003,0.006817666005800275,0.15,549.0,766.0,705.0,131.0
0.062,0.0020673946503821064,6.9125,954.8633778167423,176.960864834919,842.0,338.6912320079379
0.0615,0.0028891475507077076,0.3875,549.0,224.63028486321502,705.0,131.0
0.037,0.0021586443535270543,6.9125,954.8633778167423,176.960864834919,691.0,338.6912320079379
0.037,0.0021586443535270543,6.9125,954.0,176.960864834919,691.8751115118453,338.6912320079379
0.029,0.003431420549362135,0.2625,689.0,81.0,691.0,396.0533199297719
0.0615,0.0028891475507077076,0.3875,549.7372719172267,224.63028486321502,705.0,131.0
0.0,0.013649315107755435,2.25,686.7248972453327,732.0,716.3643195774254,20.55533209041321
0.018,0.002979802478012861,1.2,566.8147406949746,143.0,705.0,131.0
0.0545,0.00322927388470429,0.2,535.6387361179624,732.0,716.3643195774254,131.0
0.037,0.0021586443535270543,6.9125,954.8633778167423,176.960864834919,691.8751115118453,338.6912320079379
0.0615,0.0028891475507077076,0.3875,549.0,224.63028486321502,705.0,131.73445015653311
0.0615,0.0028891475507077076,0.3875,549.6084477428427,224.63028486321502,705.0,131.0
0.144,0.004454149239353763,0.075,535.6387361179624,732.0,845.0,131.0
0.0615,0.0028891475507077076,0.3875,549.0,224.63028486321502,705.9052750066754,131.73445015653311
0.029,0.002499158397908762,6.7875,954.8633778167423,147.54537671357997,691.8751115118453,338.6912320079379
0.0,0.01836850200229424,0.05,535.6387361179624,691.0,131.0,131.0
0.062,0.0020673946503821064,6.9125,954.8633778167423,176.960864834919,842.78028509847,338.6912320079379
0.0615,0.0028891475507077076,0.3875,549.0,224.63028486321502,705.9052750066754,131.0
0.0105,0.007230181464285092,0.0125,535.6387361179624,691.0,843.0,131.0
0.0105,0.007230181464285092,0.0125,535.6387361179624,691.0,843.7826122237572,131.0
0.0615,0.0028891475507077076,0.3875,549.7372719172267,224.63028486321502,705.9052750066754,131.0
0.0615,0.0028891475507077076,0.3875,549.6084477428427,224.63028486321502,705.9052750066754,131.0
0.018,0.002979802478012861,1.2,566.8147406949746,143.0,705.9052750066754,131.0
0.0105,0.007230181464285092,0.0125,535.6387361179624,691.0,843.4045816296521,131.0
0.003,0.006817666005800275,0.15,549.6084477428427,766.0,705.0,131.0
0.003,0.006817666005800275,0.15,549.0,766.0,705.0,131.73445015653311
0.062,0.0020673946503821064,6.9125,954.8633778167423,176.960864834919,842.9778361044201,338.6912320079379
0.019,0.00318504627945096,0.3725,689.0,691.0,63.0,396.0
0.0105,0.007230181464285092,0.0125,535.6387361179624,691.0,843.3355058589467,131.0
0.003,0.006817666005800275,0.15,549.0,766.0,705.9052750066754,131.0
0.3085,0.001448094716093572,0.02,42.0,693.749669238409,705.0,320.0
