run_id,seed,n_evals,n_gen,elapsed_sec,n_pareto,GD,IGD,IGD+,GD+,HV,Spread,Epsilon,best_f1,best_price,best_main
0,42,40000,201,4.385,108,0.055755,0.232222,0.004664,0.048868,2.230088,1.332680,4500000.000000,0.000000,8200.0,
1,43,40000,201,4.255,35,0.833426,0.135231,0.002669,0.067001,2.222697,1.154715,14.310345,0.000000,8000.0,
2,44,40000,201,4.435,51,0.027695,0.219234,0.003251,0.005894,2.228228,1.367002,15000000.000000,0.000000,8250.0,
3,45,40000,201,4.233,102,0.176872,0.114347,0.005426,0.008320,2.230117,1.512359,25000000.000000,0.000000,6000.0,
4,46,40000,201,4.114,22,0.111494,0.156515,0.006767,0.016481,2.229406,1.023404,5000000.000000,0.000000,7440.0,
5,47,40000,201,4.239,72,0.183536,0.074524,0.008216,0.029374,2.232099,1.268803,5000000.000000,0.000000,7630.0,
6,48,40000,201,4.631,75,0.051549,0.043496,0.001082,0.009467,2.232228,1.550191,11.090264,0.000000,8000.0,
7,49,40000,201,4.175,44,0.206964,0.098074,0.007755,0.049176,2.225516,1.040428,40000000.000000,0.000000,15900.0,
8,50,40000,201,4.699,200,0.075804,0.114082,0.005335,0.012560,2.227937,1.508165,5000000.000000,0.000000,7940.0,
9,51,40000,201,4.350,99,0.205287,0.080870,0.004205,0.017875,2.230036,1.346918,5000000.000000,0.000000,3890.0,
10,52,40000,201,4.638,57,0.117574,0.091165,0.004404,0.006682,2.230206,1.395390,14000000.000000,0.000000,7970.0,
11,53,40000,201,4.433,50,0.048985,0.187440,0.002201,0.027825,2.230904,1.182738,27.372542,0.000000,6600.0,
12,54,40000,201,4.273,74,0.289044,0.074198,0.009422,0.031725,2.227501,1.246422,19.944444,0.000000,15900.0,
13,55,40000,201,4.321,122,0.028564,0.183474,0.002082,0.004631,2.232482,1.276975,11.626517,0.000000,8000.0,
14,56,40000,201,4.155,67,0.043334,0.224733,0.007121,0.023323,2.227311,1.135285,41.175399,0.000000,8000.0,
15,57,40000,201,4.145,31,0.071954,0.123437,0.005098,0.027136,2.229239,1.079057,30000000.000000,0.000000,31900.0,
16,58,40000,201,4.107,65,0.153162,0.095050,0.005312,0.051339,2.225242,1.285334,40000000.000000,0.000000,6100.0,
17,59,40000,201,4.279,70,0.068896,0.106490,0.004505,0.018439,2.229382,1.294955,7.571251,0.000000,8000.0,
18,60,40000,201,4.219,68,0.277137,0.074348,0.007778,0.033102,2.227644,1.331283,25000000.000000,0.000000,15270.0,
19,61,40000,201,4.454,178,0.267550,0.061907,0.006000,0.023556,2.228484,1.645973,50000000.000000,0.000000,26000.0,
20,62,40000,201,4.320,73,0.076219,0.150066,0.010628,0.015310,2.227718,1.262175,5000000.000000,0.000000,9900.0,
21,63,40000,201,4.757,200,0.020076,0.167860,0.004452,0.008515,2.232752,1.300966,5000000.000000,0.000000,15720.0,
22,64,40000,201,4.559,71,0.021618,0.198089,0.003400,0.013500,2.232448,1.386772,40000000.000000,0.000000,6730.0,
23,65,40000,201,4.354,101,0.050741,0.168917,0.002734,0.028837,2.228772,1.102594,5000000.000000,0.000000,8900.0,
24,66,40000,201,4.315,59,0.126290,0.104189,0.015043,0.022314,2.229783,1.055089,45000000.000000,0.000000,21580.0,
25,67,40000,201,4.850,59,0.347642,0.083509,0.002906,0.021930,2.232409,1.243811,11.801429,0.000000,8000.0,
26,68,40000,201,4.552,177,0.254252,0.100347,0.003158,0.037872,2.228561,1.582259,58.407289,0.000000,55100.0,
27,69,40000,201,4.270,39,0.122052,0.176489,0.007225,0.099201,2.227427,1.074989,10000000.000000,0.000000,7950.0,
28,70,40000,201,4.747,128,0.041581,0.211325,0.005310,0.024036,2.230546,1.192334,10000000.000000,0.000000,7200.0,
29,71,40000,201,4.509,62,0.148396,0.114033,0.004613,0.043886,2.225649,1.143608,25000000.000000,0.000000,19770.0,
