f1,f2,f3,x0,x1,x2,x3
0.5235,0.0032242774366957505,0.0375,877.0,691.0,651.0,356.0
0.5167999999999999,0.005757156863065763,0.0125,723.0,151.0,709.0,362.0
0.177,0.006036656907899005,0.01,602.0,759.0225092476364,137.0,348.0
0.132,0.009090884317075318,0.01,584.0990823313222,759.0225092476364,137.0,348.0
0.1095,0.010906883180504603,0.0025,584.0990823313222,759.0225092476364,137.0,344.9389873248431
0.1095,0.010906883180504603,0.0025,584.0990823313222,759.0225092476364,137.0,344.9678790257064
0.34854999999999997,0.0003860505248764014,2.35,909.0,748.0,761.0,121.0
0.0,0.014285530021462605,0.9875,555.0,184.5735828280919,145.0,188.39549798491907
0.0655,0.011091940375075889,0.025,943.0,601.1192512528547,146.8759924833087,6.614849766371094
0.011,0.0014340701516726746,6.735,919.0914743523061,715.3414321803073,137.0,15.301289408918905
0.009,0.0164161584453382,0.0025,584.0990823313222,715.3414321803073,137.0,344.9389873248431
0.009,0.0164161584453382,0.0025,584.0990823313222,715.3414321803073,137.0,344.9678790257064
0.03,0.0031662265130951448,1.1125,555.0,759.0225092476364,136.3520527407694,188.39549798491907
0.012,0.0023356949507221544,1.1975,919.0914743523061,715.3414321803073,137.0,22.222177459955045
0.1095,0.010906883180504603,0.0025,584.0990823313222,759.6356536713765,137.0,344.9389873248431
0.359,0.012717599877054977,0.0,705.6264855520824,639.0,651.0,348.0
0.0765,0.014992235801468863,0.01,602.0,715.3414321803073,137.0,348.0
0.177,0.006036656907899005,0.01,602.0,759.6356536713765,137.0,348.0
0.0315,0.01603156584460316,0.01,584.0990823313222,715.3414321803073,137.0,348.0
0.043,0.003590760832052483,0.1275,579.0,715.3414321803073,87.50239426242226,289.0
0.0005,0.007460190679238387,1.35,555.0,812.0,136.3520527407694,188.39549798491907
0.1095,0.010906883180504603,0.0025,584.0990823313222,759.6356536713765,137.0,344.9678790257064
0.132,0.009090884317075318,0.01,584.0990823313222,759.6356536713765,137.0,348.0
0.366,0.0057918378212781394,0.0,705.6264855520824,838.6525098716761,645.1090786430251,348.0
0.007,0.0032012029121237786,0.69,943.0,715.3414321803073,87.50239426242226,6.614849766371094
0.115,0.0009370186857420033,1.31,919.0914743523061,615.0,87.50239426242226,22.222177459955045
0.03,0.0031662265130951448,1.1125,555.0,759.6356536713765,136.3520527407694,188.39549798491907
0.03,0.0031662265130951448,1.1125,555.0,759.6356536713765,136.3520527407694,188.08394813387906
0.009,0.0164161584453382,0.0025,584.0990823313222,715.3174275439351,137.0,344.9678790257064
0.056,0.0016414305134717247,1.0,543.28249080695,808.6968396600005,101.17725407476154,188.08394813387906
0.0315,0.01603156584460316,0.01,584.0990823313222,715.3174275439351,137.0,348.0
0.1175,0.000786202972872678,4.36,919.0914743523061,615.0,87.50239426242226,11.933943123913782
0.0005,0.007460190679238387,1.35,555.0,812.0,136.3520527407694,188.08394813387906
0.011,0.0014340701516726746,6.735,919.0914743523061,715.3174275439351,137.0,15.301289408918905
0.009,0.0164161584453382,0.0025,584.0990823313222,715.3174275439351,137.0,344.9389873248431
0.03,0.0031662265130951448,1.1125,555.0,759.0225092476364,136.3520527407694,188.08394813387906
0.1485,0.001329715775671521,0.68625,584.0990823313222,662.0,759.0,312.5629458709807
0.0015,0.005295064996703033,0.1225,543.28249080695,403.0,137.0,188.08394813387906
0.0095,0.0023632468513060893,4.2475,919.0914743523061,715.3174275439351,137.0,11.933943123913782
0.0765,0.014992235801468863,0.01,602.0,715.3174275439351,137.0,348.0
0.043,0.003590760832052483,0.1275,579.0,715.3174275439351,87.50239426242226,289.0
0.013,0.003816138495090882,0.365,543.28249080695,184.5735828280919,137.0,188.08394813387906
0.0095,0.0023632468513060893,4.2475,919.0914743523061,715.3414321803073,137.0,11.933943123913782
0.007,0.0032012029121237786,0.69,943.0,715.3174275439351,87.50239426242226,6.614849766371094
0.03,0.0031662265130951448,1.1125,555.0,759.0225092476364,136.08651021440375,188.08394813387906
0.024,0.0011654646806014478,1.3625,943.0,843.111265204522,136.3520527407694,6.614849766371094
0.012,0.0012465586048262657,1.925,579.0,843.111265204522,136.3520527407694,289.0
0.132,0.009090884317075318,0.01,584.0990823313222,759.1820849122017,137.0,348.0
0.177,0.006036656907899005,0.01,602.0,759.1820849122017,137.0,348.0
0.0,0.01726303560054541,0.0,584.0990823313222,843.111265204522,761.0,312.5629458709807
0.1545,0.0024499631108931817,0.5625,919.0914743523061,759.6356536713765,101.17725407476154,22.222177459955045
0.0045,0.004631406982050545,1.1975,919.0914743523061,715.3174275439351,137.0,36.984610569413334
0.03,0.0031662265130951448,1.1125,555.0,759.6356536713765,136.08651021440375,188.08394813387906
0.001,0.004983431270281492,0.25,584.0990823313222,715.3174275439351,761.0,312.5629458709807
0.03,0.0031662265130951448,1.1125,555.0,759.1820849122017,136.3520527407694,188.39549798491907
0.3655,0.005488919565989518,0.05,700.413078146675,838.6525098716761,79.38533496134473,355.9913529708276
0.0005,0.007460190679238387,1.35,555.0,812.0,136.08651021440375,188.08394813387906
0.0,0.014285530021462605,0.9875,555.0,184.5735828280919,145.0,188.08394813387906
0.0045,0.004631406982050545,1.1975,919.0914743523061,715.3414321803073,137.0,36.984610569413334
0.0335,0.0021848980587407555,0.76,538.3589122853473,808.6968396600005,87.82136721153375,188.08394813387906
0.03,0.0031662265130951448,1.1125,555.0,759.0225092476364,136.08651021440375,188.39549798491907
0.1095,0.010906883180504603,0.0025,584.0990823313222,759.1820849122017,137.0,344.9678790257064
0.03,0.0031662265130951448,1.1125,555.0,759.1820849122017,136.08651021440375,188.08394813387906
0.03,0.0031662265130951448,1.1125,555.0,759.1820849122017,136.08651021440375,188.39549798491907
0.264,0.0006792348415659245,0.1225,584.0990823313222,812.0,137.0,377.17976741532766
0.1545,0.0024499631108931817,0.5625,919.0914743523061,759.1820849122017,101.17725407476154,22.222177459955045
