group,metric,mean,std,min,max,avg_time_sec,wilcoxon_p_vs_G3,seed_start,n_runs
G1,HV,3.536108,0.001230,3.533264,3.538103,4.898,0.0000,42,30
G1,GD+,0.035839,0.023611,0.006113,0.116036,4.898,0.0005,42,30
G1,IGD+,0.005826,0.002503,0.002163,0.012657,4.898,0.0000,42,30
G2,HV,3.537119,0.001048,3.533972,3.538623,5.843,0.0000,42,30
G2,GD+,0.005167,0.002999,0.000530,0.011379,5.843,0.0001,42,30
G2,IGD+,0.002121,0.001038,0.000494,0.005619,5.843,0.0000,42,30
G3,HV,0.016709,0.004598,0.004743,0.026414,10.645,nan,42,30
G3,GD+,0.016940,0.013675,0.000000,0.072007,10.645,nan,42,30
G3,IGD+,0.087260,0.111745,0.010912,0.487538,10.645,nan,42,30
