day,date,duplication_rate
1,2026-05-07,0.0000
2,2026-05-08,0.0000
3,2026-05-09,0.0000
4,2026-05-10,0.0000
5,2026-05-11,0.0000
6,2026-05-12,0.0448
7,2026-05-13,0.0759
