day,date,breakfast,lunch,dinner,total_calories,total_price
1,2026-05-07,전주비빔참치마요삼각김밥 / 사랑해어 부산에서 온 천일염 옥돔 / 닭가슴살 굴림만두 갈비맛 / 꿀청귤차,김치참치대왕마끼 / 고추참치마요 / 시금치크림소스치킨구이 세트 / 쌍화차,불닭치킨마요 / 쌀눈 참전복죽 / 짜먹는 맥문동 호박죽 / 스프라이트® 미디엄,2067,24760
2,2026-05-08,그린)NEW참치김치볶음밥삼각 / 비건 저키 스파이시 / 주)압도적리치참치마요 / 시칠리아 오렌지 주스,에그마요묵은지김밥 / 풍미가득 한입동그랑땡 / 주)3XL베이컨참치마요 / 토닉 워터,하츄핑의소시지김밥 / 스위시삼총사3p / 절단손질꽃게,1897,24610
3,2026-05-09,주)3XL콘참치마요삼각 / 더커진묵은지참치볶음 / 삼각)소고기볶음고추장 / 조남상용문산야생산더덕진액,뉴전주비빔삼각김밥 / 풀)전주비빔참치마요 / 교촌 닭가슴살소시지 블랙페퍼 / CALOBYE퍼펙트파워쉐이크곡물맛,비빔메일면 누들볼 / 치즈폭탄직화불닭 / 노브랜드 간편미역국 / 프리미엄리얼콜라겐5200,2036,24550
4,2026-05-10,진미채김밥 / 너구리큰사발면,신장케어 소고기덮밥 / 호두조림 / 오리지널열불라면,전주비빔가득김밥 / 스지수육 / 매콤한제육볶음삼각 / 파스쿠찌 돌체라떼,2025,22620
5,2026-05-11,불고기참나물김밥 / 우럭&열기구이 / 튼튼멸치볶음 / 트루맘 뉴클래스 2,참치마요삼각김밥 / 괌)스팸참치마요 / 3XL청양참치김치 / 피치 아이스티 M,바삭)치즈불닭김밥 / 목포세발낙지초무침 / 갓김치고등어조림 세트 / 꿀청귤차,2053,25100
6,2026-05-12,휴게소핫바김밥 / 자연드림라면컵 / 바삭)날치알참치마요 / 홍차원액,삼각)스팸마요김치볶음밥1 / 정성온 딱 한끼 부대찌개 / 압도적플러스치즈계란 / 코카콜라(L),삼영특판도시락 / 더반찬 새알심 팥죽 / 초록눈새우들깨죽 / 레몬에이드(R),2018,18590
7,2026-05-13,에그명란삼각김밥 / 즉석삼치구이 / 한우 사골곰탕 / 디카페인 바닐라 라떼 L,계란진미채김밥 / 계란말이 / 강릉최가두부 5000 / 하이드라라이트 전해질 파우더 애플&블랙커런트 10개입,참치마요꼬마김밥 / 모듬버섯볶음 / 쌀눈 참전복죽 / 스프라이트(L),2002,24290
