group,metric,mean,std,min,max,avg_time_sec,wilcoxon_p_vs_G3,seed_start,n_runs
G1,HV,0.633341,0.042155,0.599859,0.692799,0.045,0.0495,42,3
G1,GD+,0.115216,0.076666,0.027752,0.214437,0.045,0.0495,42,3
G1,IGD+,0.108466,0.069496,0.033243,0.200856,0.045,0.5127,42,3
G2,HV,0.697101,0.014742,0.676793,0.711340,0.081,0.0495,42,3
G2,GD+,0.019098,0.010732,0.004019,0.028129,0.081,0.5127,42,3
G2,IGD+,0.034666,0.038908,0.002915,0.089460,0.081,0.2752,42,3
G3,HV,0.003138,0.000500,0.002431,0.003520,0.136,nan,42,3
G3,GD+,0.010784,0.012087,0.000000,0.027662,0.136,nan,42,3
G3,IGD+,0.091092,0.097720,0.021461,0.229289,0.136,nan,42,3
