f1,f2,x0,x1,x2,x3
0.0054593890115356945,0.025,790.8067302928833,779.8606788780373,707.0,239.1014599310969
0.001935621472318942,0.57375,600.0,160.88603894822006,678.0,153.0
0.001935621472318942,0.57375,600.0,160.88603894822006,678.0,153.56456551871975
0.0054593890115356945,0.025,790.8067302928833,779.8606788780373,707.0,239.20622707719062
0.008005074339688634,0.0025,228.90546308701795,690.0,707.0,402.4047015825564
0.0054593890115356945,0.025,790.8067302928833,707.0,779.4920480143161,239.20622707719062
0.0054593890115356945,0.025,790.8067302928833,707.0469352203571,779.4920480143161,239.20622707719062
0.008005074339688634,0.0025,228.90546308701795,690.0,707.684258439116,402.4047015825564
0.0054593890115356945,0.025,790.8067302928833,779.8606788780373,707.684258439116,239.1014599310969
0.0054593890115356945,0.025,790.8067302928833,779.8606788780373,707.684258439116,239.20622707719062
0.032072924268932775,0.0,212.12473293302165,707.0469352203571,140.0,378.86387748731215
0.032072924268932775,0.0,212.12473293302165,707.0,140.0,378.86387748731215
