day,date,breakfast,lunch,dinner,total_calories,total_price
1,2026-05-07,탈리아텔레 / 맥너겟® 4조각 / 콘샐러드 / 쏘굿 아몬드 오리지널,샌)통밀햄치즈샌드 / 어니언 시즈닝 / 코코넛슈림프(9조각)+스위트칠리소스 / 도즈 알로에 오리지널F,롯데)뚠뚠햄치즈&포테이토샌드 / 반숙계란 토핑 / 소스퐁닭 토마토살사 / 프리미엄리얼콜라겐5200,1997,24060
2,2026-05-08,먹물생면파스타 / 바삭킹2조각 / 한끼샐러드비트무화과타히니샐러드 / 산들해블루베리원액골드,삼립)버터갈릭스크램블샌드위치 / 마이비밀클린데이밀단호박닭가슴살스테이크 / SB)리코타발사믹샐러드 / 사이다(L),피자)치즈피자N / 토뽕소스 / 디핑 소스 스위트 앤 사워 / 카페라떼 라지,2007,24060
3,2026-05-09,상하이 치킨 스낵랩 / MB NEW콤보그릴소시지 / 해쉬 브라운 / 디카페인 아이스 카페 라떼 미디움,하와이안로코모코 / 맥윙™ 2조각 / 크리미마늘소스 / 뷰티 리얼 콜라겐 5000,화이버파스타 스파게티 / 롱치즈스틱 / 통오징어링,1994,24050
4,2026-05-10,치즈버거 / 치즈시즈닝 / 맥스파이시® 치킨텐더 2조각 / 압타밀 프로푸트라 3,본고장스파게티면 / 코코넛슈림프(6조각)+스위트칠리소스 / 너겟킹 10조각 / 산가리아 라무네,제육소스오므라이스 세트 / 칠리마요소스 / 스테이크샐러드 / 디카페인 아메리카노 미디움,1999,24150
5,2026-05-11,롯데)대만식햄치즈샌드위치 / 후렌치 후라이 스몰 / 빅블랙페퍼닭가슴살샐러드 / 담데일리 알로에  콜라겐스틱,더블살사불고기버거 / 화이어윙2조각 / NEW)케이준치킨샐러드 / 흑염소녹용골드프리미엄,토나렐리알네로디세피아 / 비프패티토핑 / 크리스퍼 랩 양념 치킨,1986,23870
6,2026-05-12,더빅피자버거 / 오’프라이스크림스파게티소스 / 국수화 한우 사골 육수 / 프리미엄 아르기닌 7000 파워맥스,온니 생스파게티 / 양념감자(시즈닝미포함) / 전통호박죽 / 알부민 맥스 99,에그데리버거 / 쉐이킹프라이 구운갈릭 / 베지샐러드 / 예버 펀 논 알코홀릭,1991,23470
7,2026-05-13,햄)햄에그모닝머핀 / 맥너겟® 4조각 / 후렌치 후라이 미디엄 / 녹용장어,샌)통밀햄토마토샌드 / 샐)클래식콥샐러드 / 샐)케이준치킨너겟샐러드 / 마르니스 디카페인 블랜딩 콜드브루,세미 디 시코리아 / 코코넛슈림프(3조각)+스위트칠리소스 / 쉐이킹프라이 스윗어니언 / Dr.NOSU 닥터엔오수,2067,23970
