day,date,breakfast,lunch,dinner,total_calories,total_price
1,2026-05-07,오리지널새우버거 / 맛있닭 스팀 닭가슴살 마라맛 / 청담새벽집 양념게장 / 카페라떼 라지,끼니코라 매콤 라볶이 / 냉동빵가루코코넛새우 / 맛있닭 소스 통 닭가슴살 볼케이노맛 / 아메리카노 미디엄,전주비빔가득김밥 / 고기요양념LA갈비 / 샐)당근라페리코타샐러드 / 카페게이트 레몬베이스,2000,23950
2,2026-05-08,스팸무스비 / 해쉬 브라운 / 해담 해산물 모듬장 / 티가든 콤부차 석류&사과,스파이시이탈리안샌드위치 / 할랄벳치나 골드 / 닭가슴옥수수근대죽 / 잇츠그린 브로콜리,사과빵 / 시그니처 슬라이스 닭다리살 투움바소스 / New 치킨너겟(소스미포함) / Dr.NOSU 닥터엔오수,1997,23970
3,2026-05-09,더블 미라클버거 / 한우표고참나물죽 / 넉넉한 요리두부 / 딥브라운 콜드브루,그린)참치김치볶음밥에그말이 / 오징어소면 / 도)압도적뉴한돈간장불백 / 예버 펀 논 알코홀릭,멜로우 레리매운떡볶이 / 대구살삼색죽 / 켄터키프랑크 / 오피오 애플&피치 스파클링 드링크,2004,23980
4,2026-05-10,비프커리덮밥 / 초당옥수수죽 / 가벼운한끼샐러드 단호박&닭가슴살 / 바닐라 쉐이크 미디엄,에그마요묵은지김밥 / 영양국 두부양송이탕 / 국밥킹 (세절)전통순대 / 웰치포도드링크,핫케익 2조각 / 반숙계란 토핑 / 한우표고참나물죽 / 야미대추방울토마토(청포도향),2000,23860
5,2026-05-11,BHC)뿌링치킨브리또 / 정성온 딱 한끼 부대찌개 / 냉동염지 윙 / 스프라이트(R),새우하오카오 / 병천식 순댓국 / 알래스칸의 비밀 수제집맛 어묵바 콘치즈 / 사이다(L),카펠리니 / 화이니스트 스트레이트 컷 / 최현석레몬마요치킨랩샐러드 / 아사히 수퍼드라이 넌 알콜릭 (330),1998,24010
6,2026-05-12,통새우버거 / 병천식 순댓국 / 고추어묵 / 궁보천,혜자로운)알찬한끼세트 / 삼배체굴로 만든 어리굴젓 / New 데리야끼소스 / 애플 사이다,치킨가라아게유부초밥 / 콥설러디 / 매콤한돈김치제육 / 아이스티(L),1999,24010
7,2026-05-13,"3XL콘참치마요삼각 / 롯데리아 잠발라야소스 / 냉동새우살(흰다리새우,자숙,꼬리포함) / 청솔진매",아하양짓말감자고기찐만두 / 갈릭포크소시지 / 마티황게장 / 코카 콜라® 미디엄,로스트치킨아보카도샌드위치 / 크리미양념소스 / 스위트칠리소스 / 오리지널 NFC 유기농 레몬석류즙 100,1999,24060
